epoch,train_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_top2_accuracy
1,1.8219776409039505,0.34317192600652885,0.3352087892157708,0.33520805663327735,0.5303318824809575
2,1.6802389420290809,0.4130848748639826,0.40902940012548367,0.40902244738493065,0.5926278563656148
3,1.565431652897876,0.45266594124047876,0.44535417636269164,0.44534556417968163,0.6343852013057671
4,1.457369716009191,0.4808215451577802,0.4725823633646447,0.4725738793858694,0.6652611534276387
5,1.3640033570046814,0.5213547334058759,0.5101566851277548,0.5101444803096282,0.6938248095756256
6,1.2685378335758841,0.5571273122959739,0.548752445948044,0.548736445721338,0.7236126224156693
7,1.1924624181368988,0.5820184983677911,0.5753398473096744,0.5753227612509869,0.7468715995647442
8,1.1141831695983395,0.6194232861806311,0.6135654585219142,0.6135526461183864,0.779651795429815
9,1.0486186833302094,0.6332970620239391,0.6234669938729823,0.6234532524689438,0.7920293797606094
10,0.9932432718457845,0.6492110990206746,0.6436643375003126,0.6436495032713496,0.8041349292709467
11,0.9325122112773386,0.661860718171926,0.6529178086225669,0.6529055522917208,0.8127040261153428
12,0.8809365209962494,0.6815832426550599,0.6750864574281711,0.6750742765588679,0.8291621327529923
13,0.8314539465035958,0.6852557127312296,0.6753522037957013,0.6753406526665905,0.8333786724700761
14,0.7953913293312955,0.6936887921653971,0.6836874041540242,0.6836773983604775,0.8423558215451578
15,0.757589444720921,0.6995375408052231,0.6906641391378631,0.6906531191316772,0.8412676822633297
16,0.7183444211654997,0.7070184983677911,0.7014785906182865,0.7014669434796298,0.8511969532100109
17,0.6932153980294964,0.7181719260065288,0.7077609446016891,0.7077509683262502,0.8571817192600653
18,0.6588020803661939,0.7153155603917302,0.7049905356289164,0.7049790974465868,0.859221980413493
19,0.6314707484197793,0.7193960826985855,0.708505919748689,0.7084963963186859,0.8579978237214363
20,0.6112366842158973,0.7272850924918389,0.7186495797015251,0.7186379007711006,0.8676550598476604
21,0.5822822735040876,0.7320457018498367,0.7209531546803613,0.7209459465551895,0.8673830250272034
22,0.5622340519292889,0.7406147986942329,0.7340473771515353,0.7340359332195971,0.8736398258977149
23,0.5404356071033507,0.7404787812840044,0.7336182105772348,0.7336101934651642,0.8720076169749728
24,0.5201458965983659,0.7393906420021763,0.730659402979113,0.7306485423553691,0.8703754080522307
25,0.4995798842623059,0.7418389553862894,0.734080468800058,0.7340716938787911,0.8771762785636561
26,0.39891855319627206,0.7693144722524483,0.7634427653058049,0.7634328243203763,0.8963547334058759
27,0.3596759035355217,0.7656420021762785,0.7589276960078736,0.7589184450700526,0.89050598476605
28,0.3422727965121652,0.772170837867247,0.7669464421819779,0.7669374592937246,0.8948585418933623
29,0.3283955472147546,0.7687704026115343,0.7621016503642366,0.7620918450825209,0.8929542981501633
30,0.32136650150877677,0.779379760609358,0.7740500041504327,0.774041684902102,0.8973068552774756
