epoch,train_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_top2_accuracy
1,1.8105850687720684,0.3487486398258977,0.3342384218462464,0.3342242150652754,0.5331882480957563
2,1.6660550185604093,0.4042437431991295,0.3949946266244015,0.3949847570937544,0.5871871599564744
3,1.5743512843983354,0.43607181719260063,0.4328128765318941,0.4328012529526996,0.6289445048966268
4,1.490269836382396,0.47252448313384116,0.46568417890283403,0.46567176566007024,0.6504352557127312
5,1.4270212527297865,0.48612622415669204,0.4783898740188651,0.4783778379446685,0.6671653971708379
6,1.352137385618356,0.5081610446137106,0.49852857978828957,0.49851299386053943,0.6817192600652884
7,1.3010757527564871,0.5224428726877041,0.5135711591371275,0.5135558269307624,0.6973612622415669
8,1.2458307633178458,0.5436615886833515,0.5363528673666027,0.5363376845126507,0.7079706202393906
9,1.193389829769668,0.5538628944504896,0.5461508584585371,0.5461395607101781,0.7259249183895539
10,1.1550195454263326,0.5704570184983678,0.5606026381113353,0.5605883056861805,0.7387105549510338
11,1.1097208937052103,0.5681447225244831,0.5579219149370028,0.557903218179022,0.7381664853101197
12,1.0644706785943583,0.5791621327529923,0.5707679088971034,0.5707516614246299,0.7421109902067464
13,1.0305203186079115,0.588683351468988,0.5782426521583709,0.5782285627035503,0.7493199129488575
14,1.0035180543339306,0.5918117519042437,0.5845611546793453,0.5845451688541552,0.7543525571273123
15,0.9699522793629264,0.5934439608269858,0.5851168715738584,0.5851010939145682,0.7525843307943417
16,0.9393442432872675,0.6109902067464635,0.603578776688147,0.6035662946536757,0.764145810663765
17,0.9153670512188985,0.6119423286180631,0.6041400286781509,0.6041268936626284,0.7611534276387377
18,0.8802102666143867,0.6124863982589771,0.6045517148909167,0.6045383897093272,0.7706746463547334
19,0.8619436653789931,0.6160228509249184,0.6079865610337251,0.6079747568448544,0.7713547334058759
20,0.8411630956383401,0.6181991294885746,0.6098180256028299,0.6098057265330639,0.7668661588683352
21,0.8159945863032453,0.6248639825897715,0.6173917364219964,0.6173774507798787,0.778563656147987
22,0.7957781735008582,0.6230957562568009,0.6178051965081633,0.6177929684677576,0.7776115342763874
23,0.7752325060544731,0.6256800870511425,0.6181870234907546,0.6181737071104063,0.7806039173014145
24,0.7622591729396504,0.6369695321001088,0.6311078677745996,0.6310938599194789,0.7880848748639826
25,0.7377637518624157,0.6335690968443961,0.6276302336254703,0.6276159377623669,0.7883569096844396
26,0.722251702162015,0.6383297062023939,0.6333880317506321,0.6333766562225503,0.7879488574537541
27,0.7032373682446103,0.6347932535364527,0.6303859844248514,0.6303694926409985,0.7875408052230686
28,0.6917780233894758,0.6356093579978237,0.6304548479523773,0.6304417317041252,0.7880848748639826
29,0.6746224922745214,0.6413220892274211,0.6341787436256663,0.6341673490380517,0.7912132752992383
30,0.6605837898199447,0.6387377584330794,0.6331420301674336,0.6331287734669773,0.7895810663764962
