epoch,train_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_top2_accuracy
1,1.809016755971999,0.389689880304679,0.3872535058618163,0.3872360591434699,0.573993471164309
2,1.6118283435743463,0.44640914036996737,0.42561944472846325,0.4256048146534329,0.6304406964091404
3,1.4880767578810234,0.514145810663765,0.5052564871077184,0.5052345614270058,0.683487486398259
4,1.3876573103156185,0.5470620239390642,0.5374823319468859,0.5374574461675121,0.7166757344940152
5,1.3046240526836268,0.5729053318824809,0.5615078554757852,0.5614860116164404,0.7385745375408053
6,1.2333713947746479,0.5858269858541894,0.5784774361584616,0.5784575203511745,0.7536724700761698
7,1.1742272093636321,0.6209194776931447,0.6117947870538389,0.6117716256831951,0.7800598476605005
8,1.1302085618070732,0.6228237214363439,0.6120086636574175,0.6119854899278857,0.7814200217627857
9,1.0802044761809049,0.6502992383025027,0.6395446973500153,0.6395233300680555,0.7992383025027203
10,1.0447836612198422,0.655195865070729,0.6443853669339755,0.6443671020863335,0.8063112078346029
11,0.9996096956631156,0.6622687704026116,0.6510057062008942,0.6509880768997499,0.8155603917301415
12,0.9677385553794525,0.6713819368879217,0.6652323205293483,0.665216874881735,0.8235854189336235
13,0.9443930771410672,0.6798150163220892,0.6732098954360827,0.6731902472913245,0.8273939064200218
14,0.9105690099514485,0.6823993471164309,0.6792298485414036,0.6792093102269289,0.831474428726877
15,0.885406811850338,0.6955930359085963,0.6914634040679057,0.6914424696885896,0.8385473340587595
16,0.8602144358324384,0.6946409140369967,0.685402938047743,0.6853805006227145,0.8422198041349293
17,0.8394500214689248,0.7082426550598476,0.6999745024495404,0.6999572497810989,0.8430359085963003
18,0.8220205204367509,0.7079706202393906,0.7042827785106661,0.7042642366408949,0.8431719260065288
19,0.7974705260536304,0.7181719260065288,0.7103821952140782,0.7103656779297302,0.8547334058759521
20,0.7918008329916681,0.7196681175190425,0.7151518045058805,0.7151354881678621,0.8548694232861807
21,0.7623665983644572,0.7244287268770403,0.7183879837278416,0.7183718847369599,0.8540533188248096
22,0.7538652908571656,0.7261969532100109,0.7166910619764538,0.7166749141089291,0.8570457018498367
23,0.730177131441515,0.72810119695321,0.724040222365893,0.7240236918415093,0.8573177366702938
24,0.725245089291124,0.7312295973884657,0.7261079383115934,0.7260926919813507,0.8616702937976061
25,0.7079418948111365,0.7298694232861807,0.7222311131639987,0.7222167883817556,0.8635745375408053
26,0.6974463886150635,0.7334058759521219,0.7308532528026316,0.7308349361092551,0.8619423286180631
27,0.6857444636748198,0.7317736670293797,0.7265150509092477,0.7265002366883482,0.8684711643090316
28,0.6690399728578589,0.7317736670293797,0.7259600115270123,0.7259439943467886,0.8667029379760609
29,0.6640404955906651,0.7421109902067464,0.7404581570106954,0.7404414844601105,0.8707834602829162
30,0.6467926483053561,0.7463275299238302,0.7405431346189495,0.7405301112612082,0.8745919477693145
