epoch,train_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_top2_accuracy
1,1.8389155119296212,0.3135201305767138,0.3074891648367038,0.30748451883745015,0.5125136017410229
2,1.7614740121008297,0.3407236126224157,0.3329090214268871,0.3329066444460749,0.5353645266594124
3,1.7184577205260967,0.36167029379760607,0.3543817336280996,0.35437705191970686,0.5549510337323177
4,1.6877064369002706,0.3784004352557127,0.3730990023319949,0.37309351873672136,0.5782100108813928
5,1.6599823206215971,0.39159412404787813,0.38415551441527357,0.3841490785258587,0.5867791077257889
6,1.639137260285106,0.3975788900979325,0.3891526046815663,0.38914642693332446,0.5916757344940152
7,1.6172371269059402,0.40968443960826983,0.4025430673269167,0.4025366805153168,0.6001088139281828
8,1.5961834498090541,0.4168933623503808,0.4080086574971082,0.4080015480672504,0.6104461371055495
9,1.5830541396825029,0.4251904243743199,0.4178825534880496,0.4178751465630409,0.6152067464635473
10,1.564683159781939,0.4321273122959739,0.42485896987464083,0.4248486011895529,0.6224156692056583
11,1.552109342393519,0.4352557127312296,0.4262488649021036,0.4262411968680039,0.6296245919477693
12,1.5420067477034516,0.43729597388465724,0.4305592200261336,0.4305524652174089,0.6322089227421109
13,1.5248098174745246,0.44164853101196955,0.4314361470301475,0.4314265594785932,0.6284004352557128
14,1.5172629445530104,0.4544341675734494,0.4449590874338926,0.4449501199556698,0.6392818280739935
15,1.5043523447637497,0.44804134929270945,0.44110925335370876,0.4410988954161449,0.639145810663765
16,1.494382270185791,0.45525027203482044,0.44732302648688915,0.4473140231119321,0.639961915125136
17,1.4890344425347255,0.46109902067464636,0.45441325424751816,0.4544029255732097,0.6464907508161044
18,1.4749286501651737,0.46422742110990206,0.45881271070439317,0.458802328555264,0.6440424374319913
19,1.4705985767474168,0.4733405875952122,0.4653288501988498,0.4653206225790589,0.6547878128400435
20,1.4567457514469713,0.4732045701849837,0.4658000629751179,0.4657907290094305,0.6545157780195865
21,1.451090286427966,0.47470076169749725,0.46702572123703007,0.467015689977061,0.6575081610446137
22,1.4421747569690988,0.4729325353645267,0.46295657022727177,0.46294768809612996,0.661588683351469
23,1.4357928542927123,0.48258977149075083,0.47476383453203247,0.47475475222455116,0.6602285092491839
24,1.4272823702600763,0.48299782372143635,0.47895899941011955,0.4789476836024017,0.6678454842219804
25,1.4195143869695594,0.47918933623503807,0.469569062367518,0.4695587178765773,0.6648531011969532
26,1.4170392357420196,0.48694232861806314,0.4800390269921408,0.4800282947334402,0.669341675734494
27,1.4107651798597205,0.4842219804134929,0.47555997215590856,0.47554887228710696,0.6649891186071817
28,1.4008135578895928,0.4957834602829162,0.48913550642328285,0.4891259730350307,0.6769586507072906
29,1.3955783150402412,0.485038084874864,0.47652900916756863,0.47651820035324344,0.6723340587595212
30,1.3878041372366734,0.4985038084874864,0.48965361620814896,0.48964217120966946,0.6754624591947769
