index,relative_path,label,face_mass,body_mass,background_mass,total_mass,face_detected,person_detected,num_face_boxes,num_person_boxes
1,test/Anger/0103.npy,angry,0.002383582293987274,0.8855593800544739,0.11205697059631348,8116.25927734375,True,True,1,3
2,test/Sad/2299.npy,sad,1.0,0.0,0.0,10451.890625,True,True,1,2
3,test/Happy/1729.npy,happy,0.01011396013200283,0.7525510191917419,0.23733507096767426,10483.5341796875,True,True,1,1
4,test/Surprise/1719.npy,surprised,0.2480442225933075,0.7504125237464905,0.0015431803185492754,9605.8291015625,True,True,2,1
5,test/Neutral/2466.npy,neutral,0.09284033626317978,0.5256487131118774,0.38151097297668457,13800.8154296875,True,True,1,3
6,test/Happy/0384.npy,happy,0.0,0.9056681990623474,0.0943317711353302,12433.4267578125,True,True,1,3
7,test/Neutral/0896.npy,neutral,0.024220919236540794,0.8570635914802551,0.11871541291475296,11528.40625,True,True,1,1
8,test/Sad/2933.npy,sad,0.21474994719028473,0.7852500677108765,0.0,8614.1640625,True,True,1,1
9,test/Surprise/2873.npy,surprised,0.5595793724060059,0.4404204487800598,0.0,10197.4619140625,True,True,1,2
10,test/Fear/2234.npy,fearful,0.05583296716213226,0.853378176689148,0.09078878164291382,7588.7587890625,True,True,1,3
11,test/Fear/2419.npy,fearful,0.07695294916629791,0.8791610598564148,0.043886058032512665,12601.4599609375,True,True,1,1
12,test/Sad/0815.npy,sad,0.3107728660106659,0.5003854036331177,0.18884173035621643,12524.4853515625,True,True,1,1
13,test/Surprise/2233.npy,surprised,0.013873551040887833,0.6991418600082397,0.28698453307151794,8510.421875,True,True,1,1
14,test/Neutral/0953.npy,neutral,0.0,0.9806616902351379,0.019338326528668404,10161.5810546875,False,True,0,3
15,test/Anger/0457.npy,angry,1.0,0.0,0.0,12340.8994140625,True,True,1,1
16,test/Anger/1127.npy,angry,0.09625159949064255,0.9037483334541321,0.0,9774.9716796875,True,True,1,2
17,test/Sad/0109.npy,sad,0.0812639445066452,0.9147016406059265,0.004034428391605616,7872.7578125,True,True,1,1
18,test/Disgust/0572.npy,disgusted,0.10484067350625992,0.8142755627632141,0.08088384568691254,9633.275390625,True,True,1,2
19,test/Disgust/1004.npy,disgusted,0.0,0.9929887652397156,0.0070112706162035465,9009.830078125,True,True,1,2
20,test/Surprise/2662.npy,surprised,0.43252602219581604,0.5674739480018616,0.0,11219.908203125,True,True,2,7
21,test/Fear/0357.npy,fearful,0.012749895453453064,0.34137481451034546,0.6458753347396851,5933.3515625,True,True,1,3
22,test/Happy/0131.npy,happy,0.18546777963638306,0.8145323395729065,0.0,9222.2607421875,True,True,1,4
23,test/Disgust/0915.npy,disgusted,0.0562380887567997,0.9156785011291504,0.028083370998501778,11959.8212890625,True,True,1,3
24,test/Anger/2620.npy,angry,0.15997996926307678,0.7742784023284912,0.06574161350727081,9730.6337890625,True,True,2,3
25,test/Fear/2772.npy,fearful,0.028424028307199478,0.9711519479751587,0.00042395471245981753,10862.2421875,True,True,1,10
26,test/Neutral/2070.npy,neutral,1.0,0.0,0.0,7918.1962890625,True,True,1,3
27,test/Happy/0123.npy,happy,1.0,0.0,0.0,6513.0166015625,True,True,1,4
28,test/Disgust/0420.npy,disgusted,0.1514698565006256,0.6593093276023865,0.18922077119350433,9407.9755859375,True,True,1,3
