label,n,face_mass_mean,face_mass_std,body_mass_mean,body_mass_std,background_mass_mean,background_mass_std,face_detect_rate,person_detect_rate
all,28,0.24709201896829264,0.340336409091573,0.6601719898836953,0.3205663282534851,0.09273597851383134,0.1478077310374726,0.9642857142857143,1.0
angry,4,0.31465378776192665,0.46145986384616516,0.6408965289592743,0.4310800648014869,0.04444964602589607,0.05469808125352784,1.0,1.0
disgusted,4,0.0781371546909213,0.06500191562257256,0.8455630391836166,0.14412942559327807,0.07629981462378055,0.08144094699017365,1.0,1.0
fearful,4,0.04348996002227068,0.028542689290757817,0.7612664997577667,0.28445539605903064,0.19524353228189284,0.30267891080202136,1.0,1.0
happy,4,0.29889543494209647,0.4750953116150841,0.618187889456749,0.4168955859706837,0.08291671052575111,0.112139341028791,1.0,1.0
neutral,4,0.27926531387493014,0.48209595131794747,0.5908434987068176,0.4382456542000127,0.12989117810502648,0.17562371711514307,0.75,1.0
sad,4,0.40169668942689896,0.4098211892835583,0.5500842779874802,0.4055085123562588,0.04821903968695551,0.0937677495784988,1.0,1.0
surprised,4,0.3135057920590043,0.2371938160106363,0.6143621951341629,0.13922586246280777,0.0721319283475168,0.14323691712130587,1.0,1.0
