epoch,train_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_top2_accuracy
1,1.781748207046725,0.3862894450489663,0.3829548549502579,0.38294865944083983,0.5799782372143635
2,1.621686206724217,0.4436887921653972,0.44167724976324957,0.44166786339539055,0.6309847660500544
3,1.5312009252429852,0.48014145810663766,0.47378554630396785,0.4737719055973193,0.6671653971708379
4,1.4514000143871462,0.5127856365614799,0.5054188204413349,0.5054090068960432,0.6977693144722524
5,1.3791347881222584,0.5338683351468988,0.5266213678058719,0.5266080017082041,0.7147714907508161
6,1.3332062420732276,0.5548150163220892,0.5525572315666696,0.5525424045494882,0.7346300326441785
7,1.284835862515282,0.5690968443960827,0.5606605088280762,0.560646746953848,0.7406147986942329
8,1.2348803001697317,0.5807943416757345,0.5741868952529657,0.5741721961834366,0.7524483133841132
9,1.199084829820503,0.5930359085963003,0.5856124815080163,0.5855948836189826,0.7623775843307944
10,1.1613511112697585,0.6044613710554951,0.5992212771561546,0.5992048259010837,0.7743471164309031
11,1.1320771161139962,0.6202393906420022,0.6112535026707802,0.6112372622192734,0.7842763873775843
12,1.1057646090751678,0.6206474428726877,0.6129501417921055,0.612936196735139,0.7917573449401524
13,1.0775618541571232,0.6332970620239391,0.6222869267996501,0.6222733235786668,0.7980141458106638
14,1.0548516505449392,0.6352013057671382,0.6284482482912512,0.6284325749901706,0.7989662676822633
15,1.0271025351724796,0.6426822633297062,0.6385505473465738,0.6385354228546651,0.800734494015234
16,1.0067041265364955,0.6504352557127312,0.6420439609849391,0.6420283944476299,0.8052230685527747
17,0.9858219693193858,0.6522034820457019,0.6484220477963166,0.6484052714828115,0.8076713819368879
18,0.9661622618129311,0.6626768226332971,0.6559728385803608,0.6559591621901252,0.8166485310119695
19,0.9481541900871725,0.6643090315560392,0.6566483192894327,0.6566369491394022,0.8161044613710555
20,0.93308973728201,0.6619967355821545,0.6579823933775744,0.6579663960088032,0.8166485310119695
21,0.9165293177097674,0.6736942328618063,0.669990329285387,0.6699774892093999,0.8256256800870512
22,0.9023377288777263,0.6764145810663765,0.6716052052338989,0.6715898709784919,0.8264417845484222
23,0.877369953492526,0.6787268770402611,0.6720152202300371,0.6720009937253616,0.8249455930359086
24,0.8703577967912635,0.6852557127312296,0.6786681498204542,0.6786537836316006,0.8294341675734495
25,0.8594802210946542,0.68430359085963,0.6802547686199446,0.6802408875743874,0.8326985854189336
26,0.8477187681736144,0.6870239390642002,0.6821174907190711,0.6821031775086862,0.831474428726877
27,0.8372804373627936,0.690152339499456,0.6857023962189797,0.6856875897549624,0.8332426550598476
28,0.8266670164248048,0.6994015233949945,0.6945328640662763,0.6945187212960371,0.8422198041349293
29,0.8199496197165339,0.690968443960827,0.685936249501715,0.685921164797667,0.8419477693144722
30,0.8042368624493964,0.6954570184983678,0.690823689761969,0.690809571314174,0.8407236126224157
